color,text
White,beginning player upkeep karma deal damage player equal number swamp control
Red,keldon warlord power toughness equal number nonminuswall creature control
Green,enchant land enchanted land becomes tapped destroy land controller may attach kudzu land choice
White,enchant creature enchanted creature ha first strike
Green,tap untap target land
Black,lich enters battlefield lose life equal life total lose game le life would gain life draw many card instead whenever dealt damage sacrifice many nontoken permanent lose game lich put graveyard battlefield lose game
Green,greenmanagreenmana counter target black spell
Green,target spell permanent becomes green mana symbol permanent remain unchanged
Blue,whenever forest opponent control becomes tapped gain life
Red,lightning bolt deal damage target
Green,enchant artifact whenever dealt damage put many vitality counter living artifact beginning upkeep may remove vitality counter living artifact gain life
Green,forest creature still land
Blue,merfolk get plusandplus islandwalk blocked long defending player control island
Blue,change text target spell permanent replacing instance one basic land type another example may change swampwalk plainswalk effect last indefinitely
Red,whenever player tap land mana player add one mana type land produced
Blue,tap land target player control player loses unspent mana
White,flying banding creature banding one without attack band band blocked group creature banding control blocking blocked creature divide creature combat damage controller among creature blocked blocking
Black,target player discard x card random
Green,tap add greenmana
Black,tap add blackmana
White,tap add whitemana
Red,tap add redmana
Blue,tap add bluemana
Green,look top three card target player library put back order may player shuffle library
Black,haste beginning upkeep nether shadow graveyard three creature card may put nether shadow onto battlefield
Black,tap choose target nonminuswall creature active player ha controlled continuously since beginning turn creature attack turn able destroy beginning next end step attack turn activate ability opponent turn attacker declared
White,whitemanawhitemana tap destroy target black permanent
Red,attacking creature control get plusandplus
Black,enchant creature paralyze enters battlefield tap enchanted creature enchanted creature untap controller untap step beginning upkeep enchanted creature controller player may pay player doe untap creature
White,next damage would dealt personal incarnation turn dealt owner instead personal incarnation owner may activate ability personal incarnation dy owner loses half life rounded
Black,beginning end step creature battlefield sacrifice pestilence blackmana pestilence deal damage creature player
Blue,flying beginning upkeep sacrifice phantasmal force unless pay bluemana
Blue,enchant land phantasmal terrain enters battlefield choose basic land type enchanted land chosen type
Blue,flying
Blue,pirate ship attack unless defending player control island tap pirate ship deal damage target control island sacrifice pirate ship
Black,plague rat power toughness equal number creature named plague rat battlefield
Blue,enchant enchantment beginning upkeep enchanted enchantment controller player may pay amount mana power leak deal damage player prevent x damage x amount mana player paid way
Blue,counter target spell unless controller pay x player tap land mana ability control lose unspent mana
Red,beginning player upkeep power surge deal x damage player x number untapped land controlled beginning turn
Blue,tap prodigal sorcerer deal damage target
Blue,psionic blast deal damage target damage
Blue,enchant land whenever enchanted land becomes tapped psychic venom deal damage land controller
White,target spell permanent becomes white mana symbol permanent remain unchanged
Red,whenever one creature control attack defending player divide creature without flying control left pile right pile attacking creature control choose left right creature blocked combat except creature flying creature pile chosen label
Black,return target creature card graveyard hand
Red,choose one counter target blue spell destroy target blue permanent
White,enchant creature enchanted creature ha protection red effect remove red ward
Green,return target card graveyard hand
White,return target creature card graveyard battlefield
White,next time source choice would deal damage turn prevent damage gain life equal damage prevented way
Red,flying
Red,rock hydra enters battlefield x plusandplus counter damage would dealt rock hydra ha plusandplus counter remove plusandplus counter prevent damage redmana prevent next damage would dealt rock hydra turn redmanaredmanaredmana put plusandplus counter rock hydra activate ability upkeep
Black,additional cost cast spell sacrifice creature add amount blackmana equal sacrificed creature converted mana cost
Black,beginning end step put corpse counter scavenging ghoul creature died turn remove corpse counter scavenging ghoul regenerate scavenging ghoul
Green,flying
Blue,sea serpent attack unless defending player control island control island sacrifice sea serpent
Green,forestwalk creature blocked long defending player control forest
Red,destroy target artifact
Black,gain life equal damage dealt turn simulacrum deal damage target creature control equal damage dealt turn
Black,destroy target land
Blue,cast spell opponent turn attacker declared creature active player control attack turn able beginning next end step destroy nonminuswall creature player control attack turn ignore effect creature player control continuously since beginning turn
Blue,change text target spell permanent replacing instance one color word another example may change target black spell target blue spell effect last indefinitely
Red,player untap one creature untap step
Blue,counter target spell converted mana cost x example spell mana cost bluemanabluemana x
Blue,player skip untap step beginning upkeep sacrifice stasis unless pay bluemana
Blue,enchant artifact control enchanted artifact
Red,tap target creature control toughness le stone giant power gain flying end turn destroy creature beginning next end step
Red,destroy target land
Green,target player gain x life
White,exile target creature controller gain life equal power
Green,whenever thicket basilisk block becomes blocked nonminuswall creature destroy creature end combat
Blue,target spell permanent becomes blue mana symbol permanent remain unchanged
Green,banding creature banding one without attack band band blocked group creature banding control blocking blocked creature divide creature combat damage controller among creature blocked blocking
Blue,take extra turn one
Blue,player shuffle hand graveyard library draw seven card put timetwister owner graveyard
Green,destroy enchantment
Green,destroy island
Red,destroy target wall regenerated
Blue,may tap untap target artifact creature land
Red,trample twominusheaded giant foriys block additional creature combat
Red,redmana regenerate uthden troll
Green,whenever cast enchantment spell may draw card
Blue,may vesuvan doppelganger enter battlefield copy creature battlefield except copy creature color ha beginning upkeep may creature become copy target creature except copy creature color ha ability
White,long veteran bodyguard untapped damage would dealt unblocked creature dealt veteran bodyguard instead
Blue,destroy x target mountain volcanic eruption deal damage creature player equal number mountain put graveyard way
Black,defender creature attack blackmana regenerate wall bone next time creature would destroyed turn instead tap remove damage remove combat
Green,defender creature attack greenmana regenerate wall bramble
Green,defender creature attack
Red,defender creature attack
Blue,defender creature attack bluemana wall water get plusandplus end turn
Green,enchant creature beginning upkeep enchanted creature controller wanderlust deal damage player
Green,trample
Black,enchant artifact beginning upkeep enchanted artifact controller warp artifact deal damage player
Black,enchant creature enchanted creature get minusandminus
Green,enchant creature target creature cast card enters battlefield attached creature enchanted creature get plusandplus ha reach block creature flying
Red,player discard hand draw seven card
White,first strike creature deal combat damage creature without first strike protection black creature blocked targeted dealt damage enchanted anything black
White,enchant creature enchanted creature ha protection white effect remove white ward
Green,enchant land whenever enchanted land tapped mana controller add additional greenmana
Black,flying creature blocked except creature flying reach blackmana regenerate willminuso minustheminuswisp next time creature would destroyed turn instead tap remove damage remove combat
Black,look target opponent hand choose card control player word command finish resolving player play card able player activate mana ability land player control mana produce spent activate mana ability land player control andandor play card chosen card cast spell control player spell resolving
Black,zombie creature swampwalk blocked long defending player control swamp zombie blackmana regenerate permanent
Red,sacrifice artifact atog get plusandplus end turn
Green,destroy target artifact regenerated artifact controller gain life equal converted mana cost
Green,destroy target permanent
Red,tap sacrifice artifact put plusandplus counter target creature activate ability upkeep
Black,whenever elminushajjaj deal damage gain much life
Blue,artifact beginning upkeep sacrifice artifact unless pay
Black,beginning end step erg raider attack turn erg raider deal damage unless came control turn
White,next time source choice would deal damage turn instead source deal much damage eye eye deal much damage source controller
Blue,island fish jasconius untap untap step beginning upkeep may pay bluemanabluemanabluemana untap island fish jasconius island fish jasconius attack unless defending player control island control island sacrifice island fish jasconius
Red,kird ape get plusandplus long control forest
Red,blue creature untap controller untap step beginning player upkeep player may choose number tapped blue creature control pay creature chosen way player doe untap creature
Red,whenever mijae djinn attack flip coin lose flip remove mijae djinn combat tap
Blue,return target artifact card graveyard hand
White,gain x life x twice damage dealt far turn artifact
Blue,flying beginning upkeep serendib efreet deal damage
Black,tap target creature sorceress queen ha base power toughness end turn
Green,noncreature artifact loses ability becomes artifact creature power toughness equal converted mana cost titania song leaf battlefield effect continues end turn
Blue,enchant creature enchanted creature get plusandplus beginning upkeep enchanted creature controller put minusandminus counter creature
Black,whenever abomination block becomes blocked green white creature destroy creature end combat
White,choose one target player gain x life prevent next x damage would dealt target turn
Red,redmana tap target wall
White,amrou kithkin blocked creature power greater
White,trample long turn angry mob power toughness equal plus number swamp opponent control long turn angry mob power toughness
Blue,bluemana tap add colorlessmanacolorlessmanacolorlessmana
Black,exile two target nonartifact creature ash ash deal damage
Blue,enchant creature whenever enchanted creature deal damage backfire deal much damage creature controller
Red,trample creature deal excess combat damage player planeswalker attacking haste creature attack tap soon come control beginning end step sacrifice ball lightning
Red,flying
